time_h,E_coli_1,E_coli_2,E_coli_3,S_aureus_1,S_aureus_2,S_aureus_3,B_subtilis_1,B_subtilis_2,B_subtilis_3
0.0,0.041,0.035,0.048,0.043,0.036,0.051,0.038,0.045,0.033
0.5,0.042,0.036,0.049,0.044,0.037,0.052,0.040,0.046,0.035
1.0,0.044,0.038,0.051,0.046,0.039,0.054,0.042,0.048,0.037
1.5,0.047,0.040,0.055,0.050,0.042,0.058,0.045,0.052,0.040
2.0,0.055,0.045,0.064,0.053,0.044,0.062,0.050,0.058,0.043
2.5,0.075,0.061,0.089,0.056,0.046,0.066,0.056,0.065,0.048
3.0,0.130,0.105,0.158,0.061,0.050,0.073,0.065,0.076,0.056
3.5,0.245,0.198,0.292,0.067,0.054,0.081,0.082,0.096,0.070
4.0,0.445,0.362,0.528,0.078,0.062,0.094,0.108,0.127,0.092
4.5,0.658,0.535,0.781,0.092,0.073,0.111,0.152,0.179,0.128
5.0,0.820,0.667,0.973,0.114,0.090,0.138,0.220,0.259,0.185
5.5,0.920,0.748,1.092,0.148,0.117,0.179,0.315,0.371,0.265
6.0,0.968,0.787,1.149,0.200,0.158,0.242,0.425,0.500,0.357
6.5,0.988,0.804,1.172,0.268,0.212,0.324,0.540,0.636,0.454
7.0,0.997,0.811,1.183,0.350,0.277,0.424,0.652,0.768,0.548
7.5,1.002,0.815,1.189,0.443,0.350,0.537,0.752,0.885,0.632
8.0,1.005,0.817,1.193,0.536,0.424,0.650,0.832,0.979,0.699
8.5,1.007,0.819,1.195,0.622,0.491,0.755,0.893,1.051,0.751
9.0,1.008,0.820,1.196,0.697,0.551,0.846,0.937,1.102,0.790
9.5,1.009,0.820,1.197,0.759,0.600,0.921,0.967,1.138,0.817
10.0,1.010,0.821,1.198,0.808,0.638,0.981,0.988,1.163,0.836
11.0,1.010,0.822,1.198,0.876,0.692,1.063,1.013,1.192,0.857
12.0,1.011,0.822,1.199,0.919,0.726,1.115,1.026,1.208,0.869
14.0,1.011,0.823,1.200,0.950,0.751,1.153,1.035,1.218,0.877
16.0,1.012,0.823,1.200,0.962,0.760,1.167,1.039,1.223,0.880
18.0,1.012,0.823,1.201,0.967,0.764,1.174,1.041,1.225,0.882
20.0,1.012,0.824,1.201,0.970,0.767,1.177,1.042,1.226,0.883
24.0,1.012,0.824,1.201,0.972,0.768,1.179,1.043,1.227,0.883
